index,Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,1,China,Anuel AA,798322,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-08-01,2ksOAxtIxY8yElEWw8RhgK,0.0846,0.786,301714,0.808,0.000289,7,0.0822,-3.702,1,0.0882,105.027,4,0.609
1,2,Callaita,Bad Bunny,678038,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-08-01,2TH65lNHgvLxCKXM3apjxI,0.6,0.61,250534,0.624,2.12e-06,2,0.243,-4.773,1,0.309,176.169,4,0.244
2,3,LA CANCIÓN,J Balvin,596805,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-08-01,0fea68AdmYNygeTGI4RC18,0.152,0.754,242573,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,4,0.429
3,4,11 PM,Maluma,521059,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-08-01,7KbF6AdprOXEEHlsq11Z6d,0.217,0.777,175733,0.712,0.0,10,0.091,-4.84,1,0.277,95.692,4,0.68
4,5,Otro Trago,Sech,458509,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-08-01,1Ej96GIBCTvgH7tNX1r3qr,0.136,0.747,225933,0.7,0.000167,0,0.11,-4.669,1,0.341,176.036,4,0.62
5,6,Soltera - Remix,Lunay,457582,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,2019-08-01,1c0hsvHLELX6y8qymnpLKL,0.361,0.795,266087,0.783,0.0,5,0.437,-4.271,1,0.0432,92.016,4,0.8
6,7,No Me Conoce - Remix,Jhay Cortez,448450,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-08-01,4R8BJggjosTswLxtkw8V7P,0.145,0.806,309120,0.786,0.0,10,0.0935,-3.831,0,0.0741,91.973,4,0.58
7,8,Otro Trago - Remix,Sech,443936,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019-08-01,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773,0.79,1.14e-06,0,0.0602,-2.331,1,0.197,175.988,4,0.763
8,9,Señorita,Shawn Mendes,438091,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-01,6v3KW9xbzN5yKLt9YKDYA2,0.0392,0.759,190800,0.548,0.0,9,0.0828,-6.049,0,0.029,116.967,4,0.749
9,10,Con Altura,ROSALÍA,388738,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-08-01,2qG5sZ7Si6sdK74qLxedYM,0.39,0.882,161627,0.689,0.00325,6,0.0501,-4.027,1,0.124,97.963,4,0.746
10,11,QUE PRETENDES,J Balvin,375768,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-08-01,25ZAibhr3bdlMCLmubZDVt,0.0275,0.639,222347,0.791,0.0,10,0.362,-4.443,0,0.253,92.603,4,0.939
11,12,Tal Vez,Paulo Londra,321903,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019-08-01,5jW3rF4URMdK7tO2xjS5EI,0.25,0.855,263899,0.649,0.0,8,0.0801,-2.443,1,0.151,161.986,4,0.741
12,13,Baila Conmigo (feat. Kelly Ruiz),Dayvi,307190,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,2019-08-01,4Clmg1g8n2yBYG13Z1oSdG,0.00903,0.745,189818,0.972,0.465,7,0.297,-3.506,1,0.0774,128.031,4,0.556
13,14,HP,Maluma,279481,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,2019-08-01,1LIqNVhaIgxXUt2eVoIQJ3,0.252,0.837,184436,0.791,1.14e-06,4,0.188,-3.157,0,0.0773,91.98,4,0.618
14,15,Te Robaré,Nicky Jam,275143,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-08-01,6v0lAdFF4haL8xjBIUjtOw,0.241,0.673,201818,0.752,4.51e-05,2,0.0813,-3.572,0,0.0561,175.997,4,0.797
15,16,Bellacoso,Residente,264253,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S,2019-08-01,1kMUGCt7XLDc5Q64Vl0H8S,0.0651,0.774,257865,0.851,0.0,11,0.0568,-2.795,0,0.255,180.086,4,0.695
16,17,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,257040,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-08-01,6osaMSJh9NguagEDQcZaKx,0.276,0.823,185195,0.71,2.17e-06,6,0.152,-3.896,0,0.0688,96.024,4,0.376
17,18,Con Calma,Daddy Yankee,252960,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-08-01,5w9c2J52mkdntKOmRLeM2m,0.11,0.737,193227,0.86,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656
18,19,Runaway,Sebastian Yatra,252015,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,2019-08-01,7BuSE9uTIw931wtZYzvZcQ,0.0336,0.756,200693,0.851,0.0,2,0.126,-3.33,1,0.0674,75.014,4,0.934
19,20,Tra Tra Tra Remix,Ghetto Kids,245358,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm,2019-08-01,4YqCBC4FwzGXuhixt5cgmm,0.0532,0.847,171000,0.736,0.000142,1,0.0302,-4.542,1,0.266,160.012,4,0.876
20,21,Verte Ir,DJ Luian,233597,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,2019-08-01,4lzxJ4jCuFDXXGkE1LmpKR,0.391,0.857,267500,0.647,1.2e-06,11,0.0842,-4.152,0,0.0984,95.982,4,0.553
21,22,Pa Mí - Remix,Dalex,230746,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,2019-08-01,7g8YaUQABMal0zWe7a2ijz,0.753,0.688,360960,0.62,5.27e-06,11,0.158,-8.029,0,0.22,170.018,4,0.727
22,23,Rebota - Remix,Guaynaa,226499,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11,2019-08-01,3dWpRjCmaHbroNahuSeX11,0.205,0.885,262000,0.857,0.0,0,0.671,-2.279,0,0.204,90.025,4,0.818
23,24,Te Vi,Piso 21,220242,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-08-01,059bcIhyc2SBwm6sw2AZzd,0.0446,0.877,231848,0.777,3.46e-05,1,0.0863,-4.246,1,0.117,102.02,4,0.706
24,25,Fuentes de Ortiz,Ed Maverick,217716,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL,2019-08-01,0akyEssGRVHstqCSWXusJL,0.946,0.83,207400,0.159,2.02e-05,1,0.362,-14.461,1,0.0383,104.95,4,0.189
25,26,Desconocidos,Mau y Ricky,213346,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h,2019-08-01,56f5qnyAlZdlz8wrUDA50h,0.118,0.719,204564,0.753,4.21e-06,7,0.212,-4.891,1,0.179,174.107,4,0.675
26,27,Si Supieras,Daddy Yankee,207756,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu,2019-08-01,7MRU4vOkywuhZ9kbFiPuiu,0.291,0.691,241880,0.894,0.0,9,0.104,-1.681,0,0.115,184.019,4,0.623
27,28,La Boca,Mau y Ricky,205948,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3,2019-08-01,0UQwlF2pRkr1lMN6kNNUj3,0.0655,0.618,206279,0.795,0.0,2,0.309,-1.8,1,0.113,185.901,4,0.76
28,29,bad guy,Billie Eilish,196722,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-08-01,2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,4,0.562
29,30,Calma - Remix,Pedro Capó,196458,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-08-01,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200,0.773,0.0,11,0.143,-4.218,0,0.0524,126.899,4,0.761
30,31,Old Town Road - Remix,Lil Nas X,188584,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-08-01,2YpeDb67231RjR0MgVLzsG,0.0533,0.878,157067,0.619,0.0,6,0.113,-5.56,1,0.102,136.041,4,0.639
31,32,La Boca - Remix,Mau y Ricky,183134,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,2019-08-01,2EEmzqzM70CybVspgM7YRT,0.236,0.691,188468,0.773,0.0,11,0.329,-3.812,0,0.0355,92.992,4,0.85
32,33,No Lo Trates,Pitbull,179412,https://open.spotify.com/track/4gqMVEJSaL5nNeKj5WmVoT,2019-08-01,4gqMVEJSaL5nNeKj5WmVoT,0.0569,0.834,198453,0.808,0.00052,11,0.222,-2.597,1,0.0542,104.026,4,0.829
33,34,Amor A Primera Vista,Los Angeles Azules,175248,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J,2019-08-01,1E7RHPXA9sZ30qfms18J7J,0.223,0.675,221347,0.821,5.11e-05,0,0.149,-6.017,1,0.0668,170.163,4,0.96
34,35,Secreto,Anuel AA,172428,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-08-01,5W83ErFkO3aKAIS1WMi6u0,0.602,0.807,258800,0.803,0.00853,11,0.136,-4.156,1,0.126,91.987,4,0.706
35,36,Lost on You,LP,171385,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC,2019-08-01,3SqvR3HYLlCTYzbDXJ52OC,0.1,0.433,268105,0.724,0.0,5,0.0918,-6.126,0,0.0372,174.006,4,0.689
36,37,How Do You Sleep?,Sam Smith,169754,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-01,6b2RcmUt1g9N9mQ3CbjX2Y,0.153,0.477,202205,0.682,0.0,1,0.0763,-4.931,0,0.0925,110.567,5,0.345
37,38,Contra La Pared,Sean Paul,169694,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1,2019-08-01,37eGbhE1xVFSvcKkqGb6i1,0.0156,0.828,224681,0.588,0.0,2,0.124,-7.14,1,0.118,94.052,4,0.598
38,39,Aleluya,Reik,169571,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM,2019-08-01,23CsjGOYDQiJpX44BSn9TM,0.0478,0.81,158480,0.716,0.0,8,0.0678,-2.3,1,0.0694,96.029,4,0.689
39,40,I Don't Care (with Justin Bieber),Ed Sheeran,164859,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-08-01,0hVXuCcriWRGvwMV1r5Yn9,0.0912,0.798,219947,0.675,0.0,6,0.0894,-5.041,1,0.0442,101.956,4,0.842
40,41,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,162292,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,2019-08-01,6WkJ2OK163XXS2oARUC9JM,0.101,0.72,198053,0.741,1.41e-05,10,0.289,-6.529,0,0.0287,119.896,4,0.357
41,42,Adan y Eva,Paulo Londra,161522,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,2019-08-01,132ALUzVLmqYB4UsBj5qD6,0.323,0.767,256972,0.709,0.0,1,0.0745,-4.47,1,0.336,171.993,4,0.72
42,43,Si Se Da,Myke Towers,158538,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,2019-08-01,5KbBGUpIZd6gVFUU8tqYiQ,0.374,0.83,237013,0.71,0.0,11,0.0877,-5.523,0,0.326,93.977,4,0.703
43,44,Aullando,Wisin & Yandel,154510,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,2019-08-01,7BuHdm4lQqcyG3qTwdkxus,0.184,0.8,226200,0.74,0.0,10,0.0558,-4.52,0,0.0479,90.035,4,0.775
44,45,Que Mas Pues - Remix,Sech,153187,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,2019-08-01,7fODjB7BrQTGqh0hogW6XD,0.121,0.648,305962,0.661,2.33e-06,11,0.12,-5.027,1,0.195,113.363,5,0.813
45,46,Ella Quiere Beber - Remix,Anuel AA,143419,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,2019-08-01,3f5lA8nnc4YYF1qf78WpHw,0.265,0.75,219357,0.665,0.0,8,0.0515,-3.083,1,0.124,95.239,4,0.697
46,47,Simplemente Gracias,Calibre 50,140723,https://open.spotify.com/track/5TVpVYcU47B23onx6llnvv,2019-08-01,5TVpVYcU47B23onx6llnvv,0.692,0.749,203480,0.59,1.44e-06,3,0.108,-6.039,1,0.0309,129.985,4,0.741
47,48,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,140366,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-08-01,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
48,49,Ocean,KAROL G,138035,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7,2019-08-01,6qoIFQfdmaQF9A1gb67tR7,0.933,0.727,155947,0.482,0.0,11,0.388,-6.193,1,0.115,74.93,4,0.487
49,50,Un Año,Sebastian Yatra,136196,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,2019-08-01,2vrpcQNg6itmgVZWsNjWe0,0.14,0.773,163813,0.378,0.0,1,0.133,-7.062,0,0.0531,94.946,4,0.513
50,1,China,Anuel AA,856368,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-08-02,2ksOAxtIxY8yElEWw8RhgK,0.0846,0.786,301714,0.808,0.000289,7,0.0822,-3.702,1,0.0882,105.027,4,0.609
51,2,Callaita,Bad Bunny,711965,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-08-02,2TH65lNHgvLxCKXM3apjxI,0.6,0.61,250534,0.624,2.12e-06,2,0.243,-4.773,1,0.309,176.169,4,0.244
52,3,LA CANCIÓN,J Balvin,613987,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-08-02,0fea68AdmYNygeTGI4RC18,0.152,0.754,242573,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,4,0.429
53,4,11 PM,Maluma,548614,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-08-02,7KbF6AdprOXEEHlsq11Z6d,0.217,0.777,175733,0.712,0.0,10,0.091,-4.84,1,0.277,95.692,4,0.68
54,5,Otro Trago,Sech,476108,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,2019-08-02,1Ej96GIBCTvgH7tNX1r3qr,0.136,0.747,225933,0.7,0.000167,0,0.11,-4.669,1,0.341,176.036,4,0.62
55,6,No Me Conoce - Remix,Jhay Cortez,476103,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019-08-02,4R8BJggjosTswLxtkw8V7P,0.145,0.806,309120,0.786,0.0,10,0.0935,-3.831,0,0.0741,91.973,4,0.58
56,7,Soltera - Remix,Lunay,474750,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL,2019-08-02,1c0hsvHLELX6y8qymnpLKL,0.361,0.795,266087,0.783,0.0,5,0.437,-4.271,1,0.0432,92.016,4,0.8
57,8,Otro Trago - Remix,Sech,460881,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,2019-08-02,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,287773,0.79,1.14e-06,0,0.0602,-2.331,1,0.197,175.988,4,0.763
58,9,Señorita,Shawn Mendes,439512,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-08-02,6v3KW9xbzN5yKLt9YKDYA2,0.0392,0.759,190800,0.548,0.0,9,0.0828,-6.049,0,0.029,116.967,4,0.749
59,10,Con Altura,ROSALÍA,408005,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,2019-08-02,2qG5sZ7Si6sdK74qLxedYM,0.39,0.882,161627,0.689,0.00325,6,0.0501,-4.027,1,0.124,97.963,4,0.746
60,11,QUE PRETENDES,J Balvin,391926,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-08-02,25ZAibhr3bdlMCLmubZDVt,0.0275,0.639,222347,0.791,0.0,10,0.362,-4.443,0,0.253,92.603,4,0.939
61,12,Baila Conmigo (feat. Kelly Ruiz),Dayvi,331926,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,2019-08-02,4Clmg1g8n2yBYG13Z1oSdG,0.00903,0.745,189818,0.972,0.465,7,0.297,-3.506,1,0.0774,128.031,4,0.556
62,13,Tal Vez,Paulo Londra,327434,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,2019-08-02,5jW3rF4URMdK7tO2xjS5EI,0.25,0.855,263899,0.649,0.0,8,0.0801,-2.443,1,0.151,161.986,4,0.741
63,14,Bellacoso,Residente,300991,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S,2019-08-02,1kMUGCt7XLDc5Q64Vl0H8S,0.0651,0.774,257865,0.851,0.0,11,0.0568,-2.795,0,0.255,180.086,4,0.695
64,15,HP,Maluma,290027,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,2019-08-02,1LIqNVhaIgxXUt2eVoIQJ3,0.252,0.837,184436,0.791,1.14e-06,4,0.188,-3.157,0,0.0773,91.98,4,0.618
65,16,Te Robaré,Nicky Jam,289324,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-08-02,6v0lAdFF4haL8xjBIUjtOw,0.241,0.673,201818,0.752,4.51e-05,2,0.0813,-3.572,0,0.0561,175.997,4,0.797
66,17,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,271465,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,2019-08-02,6osaMSJh9NguagEDQcZaKx,0.276,0.823,185195,0.71,2.17e-06,6,0.152,-3.896,0,0.0688,96.024,4,0.376
67,18,Tra Tra Tra Remix,Ghetto Kids,260905,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm,2019-08-02,4YqCBC4FwzGXuhixt5cgmm,0.0532,0.847,171000,0.736,0.000142,1,0.0302,-4.542,1,0.266,160.012,4,0.876
68,19,Runaway,Sebastian Yatra,259670,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,2019-08-02,7BuSE9uTIw931wtZYzvZcQ,0.0336,0.756,200693,0.851,0.0,2,0.126,-3.33,1,0.0674,75.014,4,0.934
69,20,Con Calma,Daddy Yankee,252633,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-08-02,5w9c2J52mkdntKOmRLeM2m,0.11,0.737,193227,0.86,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656
70,21,Verte Ir,DJ Luian,246438,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,2019-08-02,4lzxJ4jCuFDXXGkE1LmpKR,0.391,0.857,267500,0.647,1.2e-06,11,0.0842,-4.152,0,0.0984,95.982,4,0.553
71,22,Rebota - Remix,Guaynaa,234222,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11,2019-08-02,3dWpRjCmaHbroNahuSeX11,0.205,0.885,262000,0.857,0.0,0,0.671,-2.279,0,0.204,90.025,4,0.818
72,23,Te Vi,Piso 21,232526,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019-08-02,059bcIhyc2SBwm6sw2AZzd,0.0446,0.877,231848,0.777,3.46e-05,1,0.0863,-4.246,1,0.117,102.02,4,0.706
73,24,Desconocidos,Mau y Ricky,222462,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h,2019-08-02,56f5qnyAlZdlz8wrUDA50h,0.118,0.719,204564,0.753,4.21e-06,7,0.212,-4.891,1,0.179,174.107,4,0.675
74,25,Pa Mí - Remix,Dalex,221886,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,2019-08-02,7g8YaUQABMal0zWe7a2ijz,0.753,0.688,360960,0.62,5.27e-06,11,0.158,-8.029,0,0.22,170.018,4,0.727
75,26,Si Supieras,Daddy Yankee,218796,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu,2019-08-02,7MRU4vOkywuhZ9kbFiPuiu,0.291,0.691,241880,0.894,0.0,9,0.104,-1.681,0,0.115,184.019,4,0.623
76,27,Fuentes de Ortiz,Ed Maverick,215694,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL,2019-08-02,0akyEssGRVHstqCSWXusJL,0.946,0.83,207400,0.159,2.02e-05,1,0.362,-14.461,1,0.0383,104.95,4,0.189
77,28,Calma - Remix,Pedro Capó,209708,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-08-02,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200,0.773,0.0,11,0.143,-4.218,0,0.0524,126.899,4,0.761
78,29,La Boca - Remix,Mau y Ricky,207354,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,2019-08-02,2EEmzqzM70CybVspgM7YRT,0.236,0.691,188468,0.773,0.0,11,0.329,-3.812,0,0.0355,92.992,4,0.85
79,30,bad guy,Billie Eilish,201508,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-08-02,2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,4,0.562
80,31,La Boca,Mau y Ricky,201356,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3,2019-08-02,0UQwlF2pRkr1lMN6kNNUj3,0.0655,0.618,206279,0.795,0.0,2,0.309,-1.8,1,0.113,185.901,4,0.76
81,32,Old Town Road - Remix,Lil Nas X,192747,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-08-02,2YpeDb67231RjR0MgVLzsG,0.0533,0.878,157067,0.619,0.0,6,0.113,-5.56,1,0.102,136.041,4,0.639
82,33,No Lo Trates,Pitbull,185892,https://open.spotify.com/track/4gqMVEJSaL5nNeKj5WmVoT,2019-08-02,4gqMVEJSaL5nNeKj5WmVoT,0.0569,0.834,198453,0.808,0.00052,11,0.222,-2.597,1,0.0542,104.026,4,0.829
83,34,Amor A Primera Vista,Los Angeles Azules,183413,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J,2019-08-02,1E7RHPXA9sZ30qfms18J7J,0.223,0.675,221347,0.821,5.11e-05,0,0.149,-6.017,1,0.0668,170.163,4,0.96
84,35,Secreto,Anuel AA,181678,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-08-02,5W83ErFkO3aKAIS1WMi6u0,0.602,0.807,258800,0.803,0.00853,11,0.136,-4.156,1,0.126,91.987,4,0.706
85,36,Lost on You,LP,175458,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC,2019-08-02,3SqvR3HYLlCTYzbDXJ52OC,0.1,0.433,268105,0.724,0.0,5,0.0918,-6.126,0,0.0372,174.006,4,0.689
86,37,Contra La Pared,Sean Paul,175286,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1,2019-08-02,37eGbhE1xVFSvcKkqGb6i1,0.0156,0.828,224681,0.588,0.0,2,0.124,-7.14,1,0.118,94.052,4,0.598
87,38,How Do You Sleep?,Sam Smith,174238,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-02,6b2RcmUt1g9N9mQ3CbjX2Y,0.153,0.477,202205,0.682,0.0,1,0.0763,-4.931,0,0.0925,110.567,5,0.345
88,39,Aleluya,Reik,171165,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM,2019-08-02,23CsjGOYDQiJpX44BSn9TM,0.0478,0.81,158480,0.716,0.0,8,0.0678,-2.3,1,0.0694,96.029,4,0.689
89,40,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,170840,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,2019-08-02,6WkJ2OK163XXS2oARUC9JM,0.101,0.72,198053,0.741,1.41e-05,10,0.289,-6.529,0,0.0287,119.896,4,0.357
90,41,Adan y Eva,Paulo Londra,169258,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,2019-08-02,132ALUzVLmqYB4UsBj5qD6,0.323,0.767,256972,0.709,0.0,1,0.0745,-4.47,1,0.336,171.993,4,0.72
91,42,Si Se Da,Myke Towers,169042,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,2019-08-02,5KbBGUpIZd6gVFUU8tqYiQ,0.374,0.83,237013,0.71,0.0,11,0.0877,-5.523,0,0.326,93.977,4,0.703
92,43,I Don't Care (with Justin Bieber),Ed Sheeran,166809,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019-08-02,0hVXuCcriWRGvwMV1r5Yn9,0.0912,0.798,219947,0.675,0.0,6,0.0894,-5.041,1,0.0442,101.956,4,0.842
93,44,Aullando,Wisin & Yandel,162448,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus,2019-08-02,7BuHdm4lQqcyG3qTwdkxus,0.184,0.8,226200,0.74,0.0,10,0.0558,-4.52,0,0.0479,90.035,4,0.775
94,45,Que Mas Pues - Remix,Sech,160150,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,2019-08-02,7fODjB7BrQTGqh0hogW6XD,0.121,0.648,305962,0.661,2.33e-06,11,0.12,-5.027,1,0.195,113.363,5,0.813
95,46,Ella Quiere Beber - Remix,Anuel AA,153137,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,2019-08-02,3f5lA8nnc4YYF1qf78WpHw,0.265,0.75,219357,0.665,0.0,8,0.0515,-3.083,1,0.124,95.239,4,0.697
96,47,boyfriend (with Social House),Ariana Grande,150434,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,2019-08-02,0Ryd8975WihbObpp5cPW1t,0.119,0.4,186107,0.795,0.0,10,0.159,-3.731,0,0.461,190.097,4,0.702
97,48,Latina (feat. Maluma),Reykon,145794,https://open.spotify.com/track/00Ia46AgCNfnXjzgH8PIKH,2019-08-02,00Ia46AgCNfnXjzgH8PIKH,0.0748,0.826,226739,0.713,0.0,9,0.331,-4.017,0,0.129,102.071,4,0.75
98,49,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,144208,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-08-02,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,158040,0.479,0.0,2,0.0703,-5.574,1,0.0466,89.911,4,0.913
99,50,Cuaderno,Dalex,144159,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6,2019-08-02,7anSoGdgtmJTAPZBzcPhO6,0.524,0.681,286507,0.648,0.0,1,0.104,-5.021,0,0.38,172.019,4,0.687
100,1,China,Anuel AA,866718,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019-08-03,2ksOAxtIxY8yElEWw8RhgK,0.0846,0.786,301714,0.808,0.000289,7,0.0822,-3.702,1,0.0882,105.027,4,0.609
101,2,Callaita,Bad Bunny,729164,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019-08-03,2TH65lNHgvLxCKXM3apjxI,0.6,0.61,250534,0.624,2.12e-06,2,0.243,-4.773,1,0.309,176.169,4,0.244
102,3,LA CANCIÓN,J Balvin,612154,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019-08-03,0fea68AdmYNygeTGI4RC18,0.152,0.754,242573,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,4,0.429
103,4,11 PM,Maluma,559674,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,2019-08-03,7KbF6AdprOXEEHlsq11Z6d,0.217,0.777,175733,0.712,0.0,10,0.091,-4.84,1,0.277,95.692,4,0.68
